customer_name,email,total_orders
"Alice Johnson",alice.j@example.com,24
"Bob Smith",bob.s@example.com,23
"Charlie Brown",charlie.b@example.com,23
"Daisy Ridley",daisy.r@example.com,22
"Leenus Raj",leenus.r@exampl.net,22
Sathishan,sathish.r@exampl.net,13
Sreethar,sreethar.s@exampl.net,1
101.9184@example.com,Name633,1
"Eva Lee",eva.l@example.com,1
"Olivia Brown",olivia.b@example.com,1
"David Kim",david.k@example.com,1
"Emily Chen",emily.c@example.com,1
"Kevin White",kevin.w@example.com,1
"Sophia Patel",sophia.p@example.com,1
"Mike Brown",mike.b@example.com,1
"Jack Harris",jack.h@example.com,1
"Ava Lee",ava.l@example.com,1
"Liam Kim",liam.k@example.com,1
"Mia Chen",mia.c@example.com,1
"Noah White",noah.w@example.com,1
"Isabella Patel",isabella.p@example.com,1
"Ethan Brown",ethan.b@example.com,1
"Charlotte Harris",charlotte.h@example.com,1
"Abigail Lee",abigail.l@example.com,1
"Logan Kim",logan.k@example.com,1
"Harper Chen",harper.c@example.com,1
"William White",william.w@example.com,1
"Amelia Patel",amelia.p@example.com,1
"Benjamin Brown",benjamin.b@example.com,1
"Alexander Harris",alexander.h@example.com,1
"Aiden Lee",aiden.l@example.com,1
"Elijah Kim",elijah.k@example.com,1
"Lily Chen",lily.c@example.com,1
"Madison White",madison.w@example.com,1
"Jackson Patel",jackson.p@example.com,1
"Gabriel Brown",gabriel.b@example.com,1
"Julian Harris",julian.h@example.com,1
"Sydney Lee",sydney.l@example.com,1
"Caleb Kim",caleb.k@example.com,1
"Riley Chen",riley.c@example.com,1
"Cameron White",cameron.w@example.com,1
"Parker Patel",parker.p@example.com,1
"Cooper Brown",cooper.b@example.com,1
"Brody Harris",brody.h@example.com,1
"Bailey Lee",bailey.l@example.com,1
"Jaxon Kim",jaxon.k@example.com,1
"Savannah Chen",savannah.c@example.com,1
"Rowan White",rowan.w@example.com,1
"River Patel",river.p@example.com,1
"August Brown",august.b@example.com,1
"Daniel Hernandez",daniel.h@example.com,1
"Mia Johnson",mia.j@example.com,1
"Sophia Lee",sophia.lee@example.com,1
"Liam Smith",liam.sim@example.com,1
"Olivia Johnson",olivia.john@example.com,1
"Noah Brown",noah.brown@example.com,1
"Ava Davis",ava.davis@example.com,1
"Isabella Martin",isabella.mart@example.com,1
"Elijah Lee",elijah.lee@example.com,1
"Charlotte Garcia",charlotte.gar@example.com,1
"Amelia Martinez",amelia.mart@example.com,1
"Lucas Robinson",lucas.rob@example.com,1
"Mason Clark",mason.clark@example.com,1
"Harper Rodriguez",harper.rod@example.com,1
"Ethan Lewis",ethan.lew@example.com,1
"Emma Lee",emma.lee@example.com,1
"James Walker",james.walk@example.com,1
"Benjamin Hall",benjamin.hall@example.com,1
"Jack Allen",jack.allen@example.com,1
"Mia Young",mia.young@example.com,1
"Henry Scott",henry.scott@example.com,1
"Scarlett Harris",scarlett.harris@example.com,1
"Alexander Adams",alexander.adams@example.com,1
"Aiden Campbell",aiden.camp@example.com,1
"Sophia Bailey",sophia.bailey@example.com,1
"Ella Carter",ella.carter@example.com,1
"Logan Baker",logan.baker@example.com,1
"Grace Mitchell",grace.mitchell@example.com,1
"Daniel Perez",daniel.pere@example.com,1
"Mila Brooks",mila.brooks@example.com,1
"Sebastian Flores",sebastian.flores@example.com,1
"Zoe Bennett",zoe.bennet@example.com,1
"Jackson Gray",jackson.gray@example.com,1
"Natalie Morales",natalie.morales@example.com,1
"Gabriel Sanders",gabriel.sanders@example.com,1
"Luna Price",luna.price@example.com,1
"Matthew Collins",matthew.coll@example.com,1
"Layla Ward",layla.ward@example.com,1
"Isaac Rivera",isaac.river@example.com,1
"Hannah Cooper",hannah.coop@example.com,1
"David Kim",david.kim@example.com,1
"Riley Patterson",riley.pat@example.com,1
"Joseph Morgan",joseph.mor@example.com,1
"Chloe Foster",chloe.fost@example.com,1
"Joshua Kelly",joshua.kell@example.com,1
"Penelope Richardson",penelope.richard@example.com,1
"Levi Howard",levi.howard@example.com,1
"Zoey Ward",zoey.ward@example.com,1
"Isaiah Cox",isaiah.cox@example.com,1
"Samantha Bell",samantha.bell@example.com,1
"Andrew Rivera",andrew.rivera@example.com,1
"Nora Peterson",nora.peter@example.com,1
"Ryan Henderson",ryan.hender@example.com,1
"Addison Cruz",addison.cruz@example.com,1
"Carter Griffin",carter.grifin@example.com,1
"Lillian Gomez",lillian.gomez@example.com,1
"Wyatt Hughes",wyatt.hughes@example.com,1
"Aurora Edwards",aurora.edwards@example.com,1
"Dylan Stewart",dylan.stew@example.com,1
"Victoria Rogers",victoria.rogers@example.com,1
"Luke Murray",luke.murray@example.com,1
"Aria Harrison",aria.harrrison@example.com,1
"Julian Sanders",julian.sanders@example.com,1
"Evelyn Bryant",evelyn.bryant@example.com,1
"Landon Fisher",landon.fisher@example.com,1
"Aubrey Spencer",aubrey.spencer@example.com,1
"Owen Jenkins",owen.jenkins@example.com,1
"Ella Sullivan",ella.sullivan@example.com,1
"Samuel Woods",samuel.woods@example.com,1
"Zoey Crawford",zoey.crawfood@example.com,1
"Eli Rose",eli.rrose@example.com,1
"Lily Marshall",lily.marsh@example.com,1
"Daniel Hayes",daniel.hayes@example.com,1
"Aurora Kelly",aurora.kelly@example.com,1
"Henry Cook",henry.cook@example.com,0
"Scarlett Bell",scarlett.bell@example.com,0
"Leo Sanders",leo.sanders@example.com,0
"Grace Howard",grace.howard@example.com,0
"Benjamin Gray",benjamin.gray@example.com,0
"Samantha Jenkins",samantha.jenkins@example.com,0
"Matthew Murphy",matthew.murphy@example.com,0
"Aubrey Thomas",aubrey.thomas@example.com,0
"Levi Walker",levi.walker@example.com,0
"Aria White",aria.white@example.com,0
"Henry Perez",henry.perez@example.com,0
"Luna Miller",luna.miller@example.com,0
"Alexander Martin",alexander.martin@example.com,0
"Layla Thompson",layla.thompson@example.com,0
"Lucas Johnson",lucas.johnson@example.com,0
"Stella Brown",stella.brown@example.com,0
"Mason Williams",mason.williams@example.com,0
"Chloe Martinez",chloe.martinez@example.com,0
"Ethan Anderson",ethan.anderson@example.com,0
"Ellie Taylor",ellie.taylor@example.com,0
"Michael Harris",michael.harris@example.com,0
"Hannah Martin",hannah.martin@example.com,0
"Daniel Jackson",daniel.jackson@example.com,0
"Isabella Lee",isabella.lee@example.com,0
"Sophia Garcia",sophia.garcia@example.com,0
"Elijah Gonzalez",elijah.gonzalez@example.com,0
"Mila Clark",mila.clark@example.com,0
"James Martinez",james.martinez@example.com,0
"Emma Rodriguez",emma.rodriguez@example.com,0
"Henry Lewis",henry.lewis@example.com,0
"Olivia Young",olivia.young@example.com,0
"Lucas Hill",lucas.hill@example.com,0
"Zoe Scott",zoe.scott@example.com,0
"Jackson Adams",jackson.adams@example.com,0
